Name,District,Position,Room,Phone,Email Member,Chamber
"Abbarno, Peter (R)",20,1,LEG 425B,360-786-7896,https://app.leg.wa.gov/pbc/MemberEmail/20/1,H
"Abell, Hunter (R)",7,2,LEG 122B,360-786-7988,https://app.leg.wa.gov/pbc/MemberEmail/7/2,H
"Barkis, Andrew (R)",2,1,LEG 427A,360-786-7824,https://app.leg.wa.gov/pbc/MemberEmail/2/1,H
"Barnard, Stephanie (R)",8,1,JLOB 431,360-786-7986,https://app.leg.wa.gov/pbc/MemberEmail/8/1,H
"Berg, April (D)",44,2,LEG 132C,360-786-7892,https://app.leg.wa.gov/pbc/MemberEmail/44/2,H
"Bergquist, Steve (D)",11,2,LEG 438B,360-786-7862,https://app.leg.wa.gov/pbc/MemberEmail/11/2,H
"Bernbaum, Adam (D)",24,1,JLOB 418,360-786-7916,https://app.leg.wa.gov/pbc/MemberEmail/24/1,H
"Berry, Liz (D)",36,2,LEG 132B,360-786-7860,https://app.leg.wa.gov/pbc/MemberEmail/36/2,H
"Bronoske, Dan (D)",28,2,LEG 132D,360-786-7958,https://app.leg.wa.gov/pbc/MemberEmail/28/2,H
"Burnett, Brian (R)",12,1,JLOB 410,360-786-7954,https://app.leg.wa.gov/pbc/MemberEmail/12/1,H
"Caldier, Michelle (R)",26,2,LEG 427B,360-786-7802,https://app.leg.wa.gov/pbc/MemberEmail/26/2,H
"Callan, Lisa (D)",5,2,JLOB 420,360-786-7876,https://app.leg.wa.gov/pbc/MemberEmail/5/2,H
"Chase, Rob (R)",4,2,JLOB 434,360-786-7984,https://app.leg.wa.gov/pbc/MemberEmail/4/2,H
"Connors, April (R)",8,2,LEG 426A,360-786-7882,https://app.leg.wa.gov/pbc/MemberEmail/8/2,H
"Corry, Chris (R)",15,1,LEG 335A,360-786-7810,https://app.leg.wa.gov/pbc/MemberEmail/15/1,H
"Cortes, Julio (D)",38,1,JLOB 327,360-786-7840,https://app.leg.wa.gov/pbc/MemberEmail/38/1,H
"Couture, Travis (R)",35,2,JLOB 404,360-786-7902,https://app.leg.wa.gov/pbc/MemberEmail/35/2,H
"Davis, Lauren (D)",32,2,JLOB 331,360-786-7910,https://app.leg.wa.gov/pbc/MemberEmail/32/2,H
"Dent, Tom (R)",13,1,JLOB 437,360-786-7932,https://app.leg.wa.gov/pbc/MemberEmail/13/1,H
"Doglio, Beth (D)",22,1,JLOB 308,360-786-7940,https://app.leg.wa.gov/pbc/MemberEmail/22/1,H
"Donaghy, Brandy (D)",44,1,JLOB 417,360-786-7804,https://app.leg.wa.gov/pbc/MemberEmail/44/1,H
"Duerr, Davina (D)",1,1,JLOB 322,360-786-7928,https://app.leg.wa.gov/pbc/MemberEmail/1/1,H
"Dufault, Jeremie (R)",15,2,LEG 122E,360-786-7874,https://app.leg.wa.gov/pbc/MemberEmail/15/2,H
"Dye, Mary (R)",9,1,JLOB 432,360-786-7942,https://app.leg.wa.gov/pbc/MemberEmail/9/1,H
"Engell, Andrew (R)",7,1,LEG 122C,360-786-7908,https://app.leg.wa.gov/pbc/MemberEmail/7/1,H
"Entenman, Debra (D)",47,1,JLOB 325,360-786-7918,https://app.leg.wa.gov/pbc/MemberEmail/47/1,H
"Eslick, Carolyn (R)",39,2,JLOB 436,360-786-7816,https://app.leg.wa.gov/pbc/MemberEmail/39/2,H
"Farivar, Darya (D)",46,2,JLOB 369,360-786-7818,https://app.leg.wa.gov/pbc/MemberEmail/46/2,H
"Fey, Jake (D)",27,2,JLOB 415,360-786-7974,https://app.leg.wa.gov/pbc/MemberEmail/27/2,H
"Fitzgibbon, Joe (D)",34,2,LEG 339A,360-786-7952,https://app.leg.wa.gov/pbc/MemberEmail/34/2,H
"Fosse, Mary (D)",38,2,JLOB 368,360-786-7864,https://app.leg.wa.gov/pbc/MemberEmail/38/2,H
"Goodman, Roger (D)",45,1,LEG 436B,360-786-7878,https://app.leg.wa.gov/pbc/MemberEmail/45/1,H
"Graham, Jenny (R)",6,2,JLOB 435,360-786-7962,https://app.leg.wa.gov/pbc/MemberEmail/6/2,H
"Gregerson, Mia (D)",33,2,JLOB 321,360-786-7868,https://app.leg.wa.gov/pbc/MemberEmail/33/2,H
"Griffey, Dan (R)",35,1,JLOB 403,360-786-7966,https://app.leg.wa.gov/pbc/MemberEmail/35/1,H
"Hackney, David (D)",11,1,JLOB 330,360-786-7956,https://app.leg.wa.gov/pbc/MemberEmail/11/1,H
"Hill, Natasha (D)",3,1,JLOB 306,360-786-7888,https://app.leg.wa.gov/pbc/MemberEmail/3/1,H
"Hunt, Victoria (D)",5,1,JLOB 309,360-786-7852,https://app.leg.wa.gov/pbc/MemberEmail/5/1,H
"Jacobsen, Cyndy (R)",25,2,LEG 122A,360-786-7968,https://app.leg.wa.gov/pbc/MemberEmail/25/2,H
"Jinkins, Laurie (D)",27,1,LEG 339C,360-786-7930,https://app.leg.wa.gov/pbc/MemberEmail/27/1,H
"Keaton, Michael (R)",25,1,JLOB 405,360-786-7948,https://app.leg.wa.gov/pbc/MemberEmail/25/1,H
"Klicker, Mark (R)",16,1,LEG 122H,360-786-7836,https://app.leg.wa.gov/pbc/MemberEmail/16/1,H
"Kloba, Shelley (D)",1,2,LEG 132A,360-786-7900,https://app.leg.wa.gov/pbc/MemberEmail/1/2,H
"Leavitt, Mari (D)",28,1,JLOB 332,360-786-7890,https://app.leg.wa.gov/pbc/MemberEmail/28/1,H
"Lekanoff, Debra (D)",40,1,JLOB 422,360-786-7800,https://app.leg.wa.gov/pbc/MemberEmail/40/1,H
"Ley, John (R)",18,2,JLOB 411,360-786-7812,https://app.leg.wa.gov/pbc/MemberEmail/18/2,H
"Low, Sam (R)",39,1,LEG 122D,360-786-7967,https://app.leg.wa.gov/pbc/MemberEmail/39/1,H
"Macri, Nicole (D)",43,1,JLOB 336,360-786-7826,https://app.leg.wa.gov/pbc/MemberEmail/43/1,H
"Manjarrez, Deb (R)",14,2,LEG 122F,360-786-7856,https://app.leg.wa.gov/pbc/MemberEmail/14/2,H
"Marshall, Matt (R)",2,2,JLOB 406,360-786-7912,https://app.leg.wa.gov/pbc/MemberEmail/2/2,H
"McClintock, Stephanie (R)",18,1,JLOB 466,360-786-7850,https://app.leg.wa.gov/pbc/MemberEmail/18/1,H
"McEntire, Joel (R)",19,2,JLOB 409,360-786-7870,https://app.leg.wa.gov/pbc/MemberEmail/19/2,H
"Mena, Sharlett (D)",29,2,JLOB 319,360-786-7996,https://app.leg.wa.gov/pbc/MemberEmail/29/2,H
"Mendoza, Gloria (R)",14,1,JLOB 430,360-786-7960,https://app.leg.wa.gov/pbc/MemberEmail/14/1,H
"Morgan, Melanie (D)",29,1,LEG 132E,360-786-7906,https://app.leg.wa.gov/pbc/MemberEmail/29/1,H
"Nance, Greg (D)",23,2,JLOB 426,360-786-7842,https://app.leg.wa.gov/pbc/MemberEmail/23/2,H
"Obras, Edwin (D)",33,1,JLOB 305,360-786-7834,https://app.leg.wa.gov/pbc/MemberEmail/33/1,H
"Orcutt, Ed (R)",20,2,JLOB 408,360-786-7990,https://app.leg.wa.gov/pbc/MemberEmail/20/2,H
"Ormsby, Timm (D)",3,2,JLOB 315,360-786-7946,https://app.leg.wa.gov/pbc/MemberEmail/3/2,H
"Ortiz-Self, Lillian (D)",21,2,LEG 434B,360-786-7972,https://app.leg.wa.gov/pbc/MemberEmail/21/2,H
"Parshley, Lisa (D)",22,2,JLOB 317,360-786-7992,https://app.leg.wa.gov/pbc/MemberEmail/22/2,H
"Paul, Dave (D)",10,2,JLOB 424,360-786-7914,https://app.leg.wa.gov/pbc/MemberEmail/10/2,H
"Penner, Joshua (R)",31,2,JLOB 469,360-786-7866,https://app.leg.wa.gov/pbc/MemberEmail/31/2,H
"Peterson, Strom (D)",21,1,JLOB 324,360-786-7950,https://app.leg.wa.gov/pbc/MemberEmail/21/1,H
"Pollet, Gerry (D)",46,1,LEG 438A,360-786-7886,https://app.leg.wa.gov/pbc/MemberEmail/46/1,H
"Ramel, Alex (D)",40,2,LEG 434A,360-786-7970,https://app.leg.wa.gov/pbc/MemberEmail/40/2,H
"Reed, Julia (D)",36,1,JLOB 326,360-786-7814,https://app.leg.wa.gov/pbc/MemberEmail/36/1,H
"Reeves, Kristine (D)",30,2,LEG 132F,360-786-7830,https://app.leg.wa.gov/pbc/MemberEmail/30/2,H
"Richards, Adison (D)",26,1,JLOB 335,360-786-7964,https://app.leg.wa.gov/pbc/MemberEmail/26/1,H
"Rude, Skyler (R)",16,2,LEG 122G,360-786-7828,https://app.leg.wa.gov/pbc/MemberEmail/16/2,H
"Rule, Alicia (D)",42,1,JLOB 334,360-786-7980,https://app.leg.wa.gov/pbc/MemberEmail/42/1,H
"Ryu, Cindy (D)",32,1,JLOB 303,360-786-7880,https://app.leg.wa.gov/pbc/MemberEmail/32/1,H
"Salahuddin, Osman (D)",48,1,JLOB 328,360-786-7936,https://app.leg.wa.gov/pbc/MemberEmail/48/1,H
"Santos, Sharon Tomiko (D)",37,1,JLOB 320,360-786-7944,https://app.leg.wa.gov/pbc/MemberEmail/37/1,H
"Schmick, Joe (R)",9,2,LEG 426B,360-786-7844,https://app.leg.wa.gov/pbc/MemberEmail/9/2,H
"Schmidt, Suzanne (R)",4,1,JLOB 468,360-786-7820,https://app.leg.wa.gov/pbc/MemberEmail/4/1,H
"Scott, Shaun (D)",43,2,JLOB 304,360-786-7920,https://app.leg.wa.gov/pbc/MemberEmail/43/2,H
"Shavers, Clyde (D)",10,1,JLOB 311,360-786-7884,https://app.leg.wa.gov/pbc/MemberEmail/10/1,H
"Simmons, Tarra (D)",23,1,LEG 429A,360-786-7934,https://app.leg.wa.gov/pbc/MemberEmail/23/1,H
"Springer, Larry (D)",45,2,LEG 437A,360-786-7822,https://app.leg.wa.gov/pbc/MemberEmail/45/2,H
"Stearns, Chris (D)",47,2,LEG 430,360-786-7858,https://app.leg.wa.gov/pbc/MemberEmail/47/2,H
"Steele, Mike (R)",12,2,LEG 425A,360-786-7832,https://app.leg.wa.gov/pbc/MemberEmail/12/2,H
"Stokesbary, Drew (R)",31,1,LEG 335C,360-786-7846,https://app.leg.wa.gov/pbc/MemberEmail/31/1,H
"Stonier, Monica Jurado (D)",49,2,LEG 436A,360-786-7872,https://app.leg.wa.gov/pbc/MemberEmail/49/2,H
"Street, Chipalo (D)",37,2,JLOB 310,360-786-7838,https://app.leg.wa.gov/pbc/MemberEmail/37/2,H
"Stuebe, David (R)",17,2,JLOB 427,360-786-7976,https://app.leg.wa.gov/pbc/MemberEmail/17/2,H
"Taylor, Jamila (D)",30,1,JLOB 370,360-786-7898,https://app.leg.wa.gov/pbc/MemberEmail/30/1,H
"Thai, My-Linh (D)",41,2,JLOB 421,360-786-7926,https://app.leg.wa.gov/pbc/MemberEmail/41/2,H
"Tharinger, Steve (D)",24,2,JLOB 314,360-786-7904,https://app.leg.wa.gov/pbc/MemberEmail/24/2,H
"Thomas, Brianna (D)",34,1,JLOB 318,360-786-7978,https://app.leg.wa.gov/pbc/MemberEmail/34/1,H
"Timmons, Joe (D)",42,2,JLOB 425,360-786-7854,https://app.leg.wa.gov/pbc/MemberEmail/42/2,H
"Volz, Mike (R)",6,1,JLOB 465,360-786-7922,https://app.leg.wa.gov/pbc/MemberEmail/6/1,H
"Walen, Amy (D)",48,2,LEG 437B,360-786-7848,https://app.leg.wa.gov/pbc/MemberEmail/48/2,H
"Walsh, Jim (R)",19,1,JLOB 428,360-786-7806,https://app.leg.wa.gov/pbc/MemberEmail/19/1,H
"Waters, Kevin (R)",17,1,JLOB 467,360-786-7994,https://app.leg.wa.gov/pbc/MemberEmail/17/1,H
"Wylie, Sharon (D)",49,1,JLOB 414,360-786-7924,https://app.leg.wa.gov/pbc/MemberEmail/49/1,H
"Ybarra, Alex (R)",13,2,JLOB 470,360-786-7808,https://app.leg.wa.gov/pbc/MemberEmail/13/2,H
"Zahn, Janice (D)",41,1,JLOB 419,360-786-7894,https://app.leg.wa.gov/pbc/MemberEmail/41/1,H
